SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
370141      2      0.0141714505   1.00000000    1.00000000   0.22892537
370142      2      0.0141714505   1.00000000    1.00000000   0.22892537
370143      2      0.0141714505   1.00000000    1.00000000   0.22892537
370144      2      0.0080897601   1.00000000    1.00000000   0.24437219
370145      2      0.0080897601   1.00000000    1.00000000   0.24437219
370146      2      0.0080897601   1.00000000    1.00000000   0.24437219
370147      2      0.0080897601   1.00000000    1.00000000   0.24437219
370148      2      0.0080897601   1.00000000    1.00000000   0.24437219
370149      2      0.0080897601   1.00000000    1.00000000   0.24437219
370150      2      0.0080897601   1.00000000    1.00000000   0.24437219
370151      2      0.0080897601   1.00000000    1.00000000   0.24437219
370152      2      0.0046974684   1.00000000    1.00000000   0.26256696
370153      2      0.0046974684   1.00000000    1.00000000   0.26256696
370154      2      0.0046974684   1.00000000    1.00000000   0.26256696
370155      2      0.0046974684   1.00000000    1.00000000   0.26256696
370156      2      0.0046974684   1.00000000    1.00000000   0.26256696
370157      2      0.0046974684   1.00000000    1.00000000   0.26256696
370158      2      0.0046974684   1.00000000    1.00000000   0.26256696
370159      2      0.0046974684   1.00000000    1.00000000   0.26256696
370160      2      0.0027583649   1.00000000    1.00000000   0.28245753
370161      2      0.0027583649   1.00000000    1.00000000   0.28245753
370162      2      0.0027583649   1.00000000    1.00000000   0.28245753
370163      2      0.0027583649   1.00000000    1.00000000   0.28245753
370164      2      0.0027583649   1.00000000    1.00000000   0.28245753
370165      2      0.0027583649   1.00000000    1.00000000   0.28245753
370166      2      0.0027583649   1.00000000    1.00000000   0.28245753
370167      2      0.0027583649   1.00000000    1.00000000   0.28245753
370168      2      0.0027583649   1.00000000    1.00000000   0.28245753
370169      2      0.0016337908   1.00000000    1.00000000   0.30037747
370170      2      0.0016337908   1.00000000    1.00000000   0.30037747
370171      2      0.0016337908   1.00000000    1.00000000   0.30037747
370172      2      0.0016337908   1.00000000    1.00000000   0.30037747
370173      2      0.0016337908   1.00000000    1.00000000   0.30037747
370174      2      0.0016337908   1.00000000    1.00000000   0.30037747
370175      2      0.0016337908   1.00000000    1.00000000   0.30037747
370176      2      0.0016337908   1.00000000    1.00000000   0.30037747
370177      2      0.0016337908   1.00000000    1.00000000   0.30037747
370178      2      0.0009802603   1.00000000    1.00000000   0.31952110
370179      2      0.0009802603   1.00000000    1.00000000   0.31952110
370180      2      0.0009802603   1.00000000    1.00000000   0.31952110
370181      2      0.0009802603   1.00000000    1.00000000   0.31952110
370182      2      0.0009802603   1.00000000    1.00000000   0.31952110
370183      2      0.0009802603   1.00000000    1.00000000   0.31952110
370184      2      0.0009802603   1.00000000    1.00000000   0.31952110
370185      2      0.0009802603   1.00000000    1.00000000   0.31952110
370186      2      0.0009802603   1.00000000    1.00000000   0.31952110
370187      2      0.0009802603   1.00000000    1.00000000   0.31952110
370189	    2	   3.5251	  1.00000000	1.00000000   0.141034
370190      2      3.5251         1.00000000    1.00000000   0.141034
370191      2      3.5251         1.00000000    1.00000000   0.141034
370192      2      3.5251         1.00000000    1.00000000   0.141034
370193      2      3.5251         1.00000000    1.00000000   0.141034
